FISHERY,BOATNUM,DATE_FISHED,DURATION,TROLL_LINE,POLE,LATITUDE,LONGITUDE,SPECIES,FISH_RETAINED,FISH_DISCARDED
LTL-ALB-NP,500057,23-AUG-16,14,,6,45.53333,-125.26667,ALB,40,
LTL-ALB-NP,500057,24-AUG-16,14,,6,47.33333,-126.13333,ALB,125,
LTL-ALB-NP,500057,25-AUG-16,14,,6,46.88333,-125.83333,ALB,12,
LTL-ALB-NP,500057,26-AUG-16,14,,6,45.33333,-125.6,ALB,410,
LTL-ALB-NP,500057,27-AUG-16,14,,6,45.03333,-125.45,ALB,720,
LTL-ALB-NP,500057,28-AUG-16,14,,6,45.05,-125.68333,ALB,1700,
LTL-ALB-NP,500057,29-AUG-16,13,,6,45.56667,-125.95,ALB,725,
LTL-ALB-NP,500057,30-AUG-16,13,,6,45.66667,-125.91667,ALB,415,
LTL-ALB-NP,500057,31-AUG-16,13,,6,45.85,-125.93333,ALB,1000,
LTL-ALB-NP,500057,01-SEP-16,12,,6,46.45,-126.01667,ALB,975,
LTL-ALB-NP,500057,02-SEP-16,12,,6,46.51667,-125.95,ALB,1100,
LTL-ALB-NP,500057,07-SEP-16,4,,7,46.5,-124.83333,ALB,0,
LTL-ALB-NP,500057,08-SEP-16,14,,7,45.06667,-125.33333,ALB,1100,
LTL-ALB-NP,500057,09-SEP-16,14,,7,45.05,-125.5,ALB,270,
LTL-ALB-NP,500057,10-SEP-16,14,,7,45.13333,-125.4,ALB,1100,
LTL-ALB-NP,500057,11-SEP-16,14,,7,44.81667,-125.18333,ALB,905,
LTL-ALB-NP,500057,12-SEP-16,12,,7,45.16667,-125.46667,ALB,840,
LTL-ALB-NP,500057,13-SEP-16,14,,7,45,-125.3,ALB,1100,
LTL-ALB-NP,500057,14-SEP-16,13,,7,44.83333,-125.26667,ALB,1450,
LTL-ALB-NP,500057,15-SEP-16,14,,7,44.85,-125.26667,ALB,1250,
LTL-ALB-NP,500057,16-SEP-16,12,,7,44.6,-125.21667,ALB,390,
LTL-ALB-NP,500057,20-SEP-16,5,,6,46.9,-124.1,ALB,702,
LTL-ALB-NP,500057,21-SEP-16,12,,6,45.6,-125.76667,ALB,851,
LTL-ALB-NP,500057,25-SEP-16,12,,6,45.36667,-125.65,ALB,733,
LTL-ALB-NP,500057,26-SEP-16,12,,6,45.3,-125.56667,ALB,718,
LTL-ALB-NP,500057,27-SEP-16,2,,6,45.88333,-125.23333,ALB,225,
LTL-ALB-NP,500057,28-SEP-16,12,,6,45.93333,-125.48333,ALB,730,
LTL-ALB-NP,500057,30-SEP-16,12,,6,45.28333,-125.43333,ALB,1400,
LTL-ALB-NP,500057,02-OCT-16,4,,6,46.45,-125.53333,ALB,120,
LTL-ALB-NP,500057,23-AUG-17,14,,5,45.5,-124.95,ALB,264,
LTL-ALB-NP,500057,24-AUG-17,14,,5,45.53333,-124.86667,ALB,82,
LTL-ALB-NP,500057,25-AUG-17,14,,5,45.36667,-124.96667,ALB,270,
LTL-ALB-NP,500057,26-AUG-17,12,,5,45.53333,-124.91667,ALB,6,
LTL-ALB-NP,500057,27-AUG-17,12,,5,45.15,-125.18333,ALB,228,
LTL-ALB-NP,500057,28-AUG-17,12,,5,45.13333,-125.25,ALB,334,
LTL-ALB-NP,500057,29-AUG-17,12,,5,46.16667,-124.86667,ALB,134,
LTL-ALB-NP,500057,30-AUG-17,12,,5,45.55,-124.75,ALB,72,
LTL-ALB-NP,500057,31-AUG-17,12,,5,45.3,-126.03333,ALB,81,
LTL-ALB-NP,500057,01-SEP-17,12,,5,45.2,-125.2,ALB,106,
LTL-ALB-NP,500057,02-SEP-17,12,,5,45.36667,-125.9,ALB,589,
LTL-ALB-NP,500057,03-SEP-17,12,,5,45.48333,-125.86667,ALB,1335,
LTL-ALB-NP,500057,04-SEP-17,12,,5,45.5,-126.26667,ALB,298,
LTL-ALB-NP,500057,05-SEP-17,12,,5,46.86667,-125.81667,ALB,762,
LTL-ALB-NP,500057,06-SEP-17,12,,5,46.96667,-125.96667,ALB,398,
LTL-ALB-NP,500057,07-SEP-17,10,,5,47.3,-126.01667,ALB,707,
LTL-ALB-NP,500057,14-SEP-17,12,,5,47.35,-125.66667,ALB,1420,
LTL-ALB-NP,500057,15-SEP-17,12,,5,47.45,-125.26667,ALB,1020,
LTL-ALB-NP,500057,21-SEP-17,6,,5,47.43333,-125.6,ALB,81,
LTL-ALB-NP,500057,22-SEP-17,12,,5,47.6,-125.75,ALB,2,
LTL-ALB-NP,500057,23-SEP-17,12,,5,47.18333,-125.96667,ALB,59,
LTL-ALB-NP,500057,24-SEP-17,12,,5,45.28333,-126.01667,ALB,1450,
LTL-ALB-NP,500057,25-SEP-17,12,,5,45.33333,-126.36667,ALB,573,
LTL-ALB-NP,500057,26-SEP-17,12,,5,45.33333,-126.56667,ALB,796,
LTL-ALB-NP,500057,27-SEP-17,12,,5,45.46667,-126.06667,ALB,577,
LTL-ALB-NP,500057,28-SEP-17,12,,5,45.7,-125.46667,ALB,875,
LTL-ALB-NP,500057,29-SEP-17,12,,5,45.8,-125.35,ALB,235,
LTL-ALB-NP,500057,30-SEP-17,12,,5,45.83333,-124.96667,ALB,485,
LTL-ALB-NP,500057,04-OCT-17,12,,5,45.86667,-125.86667,ALB,1050,
LTL-ALB-NP,500057,05-OCT-17,12,,5,45.66667,-125.53333,ALB,512,
LTL-ALB-NP,500057,06-OCT-17,12,,5,45.9,-125.46667,ALB,8,
LTL-ALB-NP,509557,23-AUG-15,15,,5,46.43333,-125.25,ALB,2576,
LTL-ALB-NP,509557,24-AUG-15,15,,5,46.31667,-125.25,ALB,4298,0
LTL-ALB-NP,509557,25-AUG-15,15,,5,46.48333,-125.95,ALB,1082,0
LTL-ALB-NP,509557,26-AUG-15,4,,5,46.91667,-124.03333,ALB,0,0
LTL-ALB-NP,512179,08-SEP-17,13,,1,46.91667,-125.83333,ALB,39,
LTL-ALB-NP,512179,09-SEP-17,13,,1,47.08333,-125.83333,ALB,103,
LTL-ALB-NP,512179,10-SEP-17,13,,1,47.08333,-125.83333,ALB,128,
LTL-ALB-NP,512179,11-SEP-17,13,,1,47.16667,-125.75,ALB,152,
LTL-ALB-NP,512179,15-SEP-17,13,,2,47.25,-125.66667,ALB,127,
LTL-ALB-NP,512179,16-SEP-17,13,,2,47.33333,-125.58333,ALB,183,
LTL-ALB-NP,512179,22-SEP-17,13,,2,45.61667,-125.45,ALB,51,
LTL-ALB-NP,512179,23-SEP-17,13,,2,45.58333,-125.16667,ALB,141,
LTL-ALB-NP,512179,24-SEP-17,13,,2,45.5,-125.08333,ALB,173,
LTL-ALB-NP,512179,25-SEP-17,13,,2,45.41667,-125.83333,ALB,62,
LTL-ALB-NP,512179,26-SEP-17,13,,2,45.41667,-125.83333,ALB,196,
LTL-ALB-NP,512179,27-SEP-17,13,,2,45.41667,-125.83333,ALB,85,
LTL-ALB-NP,512179,04-OCT-17,12,,2,45.75,-125.66667,ALB,73,
LTL-ALB-NP,512179,05-OCT-17,12,,2,45.75,-125.66667,ALB,38,
LTL-ALB-NP,514371,15-AUG-15,15,,2,46.13333,-125.15,ALB,314,
LTL-ALB-NP,514371,25-AUG-15,14,,2,46.35,-125.18333,ALB,892,
LTL-ALB-NP,514371,26-AUG-15,14,,2,46.08333,-125.33333,ALB,1160,
LTL-ALB-NP,514371,27-AUG-15,14,,2,46.16667,-125.05,ALB,266,
LTL-ALB-NP,514371,05-SEP-15,14,,2,46.13333,-124.85,ALB,526,
LTL-ALB-NP,514371,06-SEP-15,14,,2,46,-124.5,ALB,264,
LTL-ALB-NP,514371,07-SEP-15,13,,2,46.08333,-124.95,ALB,404,
LTL-ALB-NP,514371,18-SEP-15,12,,2,46.25,-124.98333,ALB,414,
LTL-ALB-NP,514371,19-SEP-15,12,,2,46.33333,-124.76667,ALB,242,
LTL-ALB-NP,514371,20-SEP-15,9,,2,46.45,-124.95,ALB,0,
LTL-ALB-NP,515057,24-AUG-15,14,,2,46.38333,-125.83333,ALB,656,0
LTL-ALB-NP,515057,25-AUG-15,14,,2,46.25,-125.91667,ALB,712,0
LTL-ALB-NP,515057,26-AUG-15,12,,2,45.08333,-125.88333,ALB,818,0
LTL-ALB-NP,515057,27-AUG-15,12,,2,45.08333,-125.11667,ALB,410,0
LTL-ALB-NP,515057,02-SEP-15,9,,3,46.13333,-124.66667,ALB,410,0
LTL-ALB-NP,515057,03-SEP-15,13,,3,45.91667,-124.91667,ALB,1212,0
LTL-ALB-NP,515057,04-SEP-15,9,,3,45.88333,-125,ALB,796,0
LTL-ALB-NP,515057,08-SEP-15,12,,2,46.3,-124.8,ALB,488,0
LTL-ALB-NP,515057,09-SEP-15,12,,2,46.33333,-124.83333,ALB,588,0
LTL-ALB-NP,515057,10-SEP-15,7,,2,46.25,-124.88333,ALB,42,0
LTL-ALB-NP,515057,18-SEP-15,12,,2,46.01667,-124.91667,ALB,496,0
LTL-ALB-NP,515057,19-SEP-15,12,,2,46.11667,-125,ALB,576,0
LTL-ALB-NP,515057,07-OCT-15,5,,2,46.16667,-125.5,ALB,0,0
LTL-ALB-NP,515057,08-OCT-15,12,,2,46.75,-125.78333,ALB,18,0
LTL-ALB-NP,515057,09-OCT-15,12,,2,47.25,-125.61667,ALB,16,0
LTL-ALB-NP,515057,10-OCT-15,12,,2,,,ALB,6,0
LTL-ALB-NP,515057,28-AUG-16,3,,2,46.13333,-124.91667,ALB,15,0
LTL-ALB-NP,515057,29-AUG-16,11,,2,46.33333,-126.33333,ALB,916,0
LTL-ALB-NP,515057,30-AUG-16,11,,2,46.41667,-126.3,ALB,241,0
LTL-ALB-NP,515057,31-AUG-16,4,,2,,,ALB,15,0
LTL-ALB-NP,515057,03-SEP-16,11,,2,46.16667,-125.08333,ALB,316,0
LTL-ALB-NP,515057,04-SEP-16,11,,2,46.23333,-125.16667,ALB,172,0
LTL-ALB-NP,515057,05-SEP-16,12,,2,46.25,-125.08333,ALB,68,0
LTL-ALB-NP,515057,06-SEP-16,11,,2,46.3,-125.16667,ALB,126,0
LTL-ALB-NP,515057,07-SEP-16,11,,2,46.33333,-125.23333,ALB,116,0
LTL-ALB-NP,515057,08-SEP-16,11,,2,46.2,-125.18333,ALB,150,0
